Transaction_ID,Customer_ID,SKU,Units_Sold,Unit_Price,Transaction_Date
10000,392,SKU-061,18,408.41,2024-03-07
10001,252,SKU-024,5,614.56,2024-08-15
10002,292,SKU-075,4,89.14,2024-09-30
10003,213,SKU-063,5,731.97,2024-04-26
10004,282,SKU-013,3,232.66,2024-05-13
10005,97,SKU-032,9,20.06,2024-01-11
10006,120,SKU-053,12,487.0,2024-08-29
10007,91,SKU-050,19,311.93,2024-11-25
10008,165,SKU-089,13,348.29,2024-11-21
10009,57,SKU-079,8,344.98,2024-04-12
10010,138,SKU-045,14,117.09,2024-10-28
10011,35,SKU-061,10,,2024-06-27
10012,124,SKU-076,7,435.64,2024-09-12
10013,258,SKU-097,7,815.54,2024-03-16
10014,387,SKU-029,9,233.01,2024-03-21
10015,133,SKU-041,7,562.85,2024-06-17
10016,357,SKU-081,12,263.9,2024-02-02
10017,4,SKU-031,2,572.13,2024-03-07
10018,58,SKU-091,8,454.8,2024-12-13
10019,301,SKU-065,7,109.98,2024-11-06
10020,380,SKU-090,3,574.58,2024-09-06
10021,430,SKU-054,4,221.77,2024-05-28
10022,263,SKU-020,3,262.9,2024-03-21
10023,68,SKU-061,1,343.49,2024-05-25
10024,244,SKU-083,12,571.81,2024-01-05
10025,393,SKU-090,18,509.12,2024-01-07
10026,352,SKU-082,14,299.94,2024-02-21
10027,386,SKU-053,20,470.34,2024-12-22
10028,116,SKU-080,9,585.24,2024-07-03
10029,42,SKU-039,13,682.74,2024-11-21
10030,62,SKU-036,9,383.92,2024-02-05
10031,404,SKU-023,10,56.61,2024-03-20
10032,380,SKU-082,4,301.63,2024-03-26
10033,402,SKU-030,6,675.49,2024-04-12
10034,16,SKU-043,7,606.32,2024-04-14
10035,230,SKU-030,20,644.05,2024-12-01
10036,6,SKU-087,18,504.51,2024-10-04
10037,228,SKU-058,17,402.48,2024-10-03
10038,336,SKU-012,17,91.62,2024-04-27
10039,78,SKU-057,1,327.5,2024-10-24
10040,392,SKU-017,6,174.24,2024-04-07
10041,175,SKU-047,5,63.02,2024-06-12
10042,352,SKU-088,8,533.62,2024-07-14
10043,435,sku-005,18,378.92,2024-08-05
10044,87,SKU-064,1,449.22,2024-02-13
10045,95,SKU-058,16,433.8,2024-05-18
10046,383,sku-009,19,476.28,2024-06-24
10047,432,SKU-063,15,695.46,2024-09-25
10048,216,SKU-078,1,735.63,2024-12-05
10049,369,SKU-018,17,189.3,2024-03-28
10050,215,SKU-072,18,239.05,2024-01-22
10051,85,SKU-076,12,419.4,2024-01-29
10052,80,SKU-026,13,371.63,2024-08-22
10053,63,SKU-008,1,117.98,2024-01-07
10054,409,SKU-014,11,277.46,2024-01-05
10055,90,SKU-051,11,785.93,2024-04-10
10056,81,SKU-042,1,407.47,2024-02-18
10057,68,SKU-099,6,643.77,2024-12-24
10058,384,SKU-026,2,307.2,2024-01-21
10059,187,SKU-022,19,778.75,2024-05-07
10060,373,SKU-010,19,516.61,2024-05-06
10061,375,SKU-004,13,348.69,2024-11-29
10062,246,SKU-041,3,,2024-01-27
10063,323,SKU-025,14,414.28,2024-09-26
10064,432,SKU-007,7,638.45,2024-09-13
10065,75,SKU-071,17,505.64,2024-10-11
10066,125,SKU-023,4,48.62,2024-04-03
10067,9,SKU-048,6,290.56,2024-04-08
10068,449,SKU-085,13,231.48,2024-08-26
10069,244,SKU-057,7,377.73,2024-08-05
10070,379,SKU-097,12,,2024-03-12
10071,321,SKU-074,17,533.31,2024-08-09
10072,427,SKU-049,20,433.55,2024-01-21
10073,206,SKU-088,3,555.27,2024-02-27
10074,99,SKU-038,14,42.26,2024-09-08
10075,331,SKU-068,9,406.26,2024-09-11
10076,31,SKU-074,20,493.71,2024-03-18
10077,167,SKU-095,2,508.26,2024-05-12
10078,182,SKU-028,8,809.1,2024-12-19
10079,224,SKU-078,15,857.86,2024-11-26
10080,322,sku-009,13,582.61,2024-11-01
10081,212,SKU-014,12,276.99,2024-12-15
10082,55,SKU-018,6,225.08,2024-11-30
10083,302,SKU-087,19,745.94,2024-02-19
10084,365,SKU-096,11,349.65,2024-10-28
10085,48,sku-059,13,,2024-07-11
10086,270,SKU-083,2,601.14,2024-05-15
10087,306,SKU-068,11,372.52,2024-05-09
10088,26,SKU-042,4,473.07,2024-07-18
10089,311,SKU-029,14,254.4,2024-08-11
10090,330,sku-009,3,486.05,2024-03-16
10091,91,sku-059,2,533.25,2024-07-04
10092,324,SKU-006,3,557.75,2024-09-07
10093,449,SKU-000,17,368.61,2024-11-10
10094,236,SKU-014,8,350.52,2024-08-29
10095,161,SKU-049,1,,2024-05-14
10096,155,sku-002,8,136.15,2024-03-19
10097,258,SKU-062,8,331.17,2024-12-02
10098,92,SKU-032,10,19.27,2024-08-24
10099,32,SKU-078,8,779.7,2024-12-09
10100,269,SKU-054,13,223.13,2024-07-15
10101,415,SKU-017,9,152.27,2024-02-17
10102,433,SKU-014,16,380.89,2024-07-25
10103,39,SKU-058,5,447.98,2024-02-28
10104,205,SKU-043,12,521.48,2024-01-02
10105,360,SKU-066,16,,2024-05-11
10106,93,SKU-061,19,346.06,2024-03-22
10107,116,SKU-056,20,389.99,2024-12-29
10108,237,SKU-027,1,564.56,2024-05-06
10109,323,SKU-062,14,,2024-09-15
10110,326,SKU-004,8,279.11,2024-03-12
10111,262,SKU-089,17,306.84,2024-03-06
10112,135,SKU-035,3,11.88,2024-08-28
10113,405,SKU-095,4,486.84,2024-08-14
10114,17,SKU-074,9,397.17,2024-05-23
10115,256,SKU-044,15,479.4,2024-10-16
10116,250,SKU-050,7,438.0,2024-09-19
10117,119,SKU-028,8,662.48,2024-10-03
10118,135,SKU-043,16,576.54,2024-10-08
10119,328,SKU-048,3,270.15,2024-02-08
10120,61,SKU-050,17,427.77,2024-12-28
10121,241,SKU-003,12,103.01,2024-01-21
10122,295,SKU-024,15,693.57,2024-11-09
10123,357,SKU-058,3,,2024-12-12
10124,119,SKU-086,7,756.29,2024-06-06
10125,406,SKU-085,13,172.01,2024-05-18
10126,139,SKU-075,3,83.51,2024-04-20
10127,97,SKU-057,18,284.71,2024-07-05
10128,424,SKU-061,1,297.61,2024-07-15
10129,220,SKU-050,16,311.27,2024-04-13
10130,22,SKU-001,17,164.8,2024-03-13
10131,407,SKU-015,10,855.69,2024-02-22
10132,294,SKU-045,16,93.81,2024-11-14
10133,413,sku-005,7,440.8,2024-11-26
10134,20,SKU-070,2,661.42,2024-04-05
10135,183,SKU-034,11,812.15,2024-06-24
10136,449,SKU-054,12,234.08,2024-04-30
10137,372,SKU-053,7,352.45,2024-12-14
10138,144,SKU-012,14,119.16,2024-06-04
10139,435,SKU-092,4,92.71,2024-07-26
10140,282,SKU-048,16,281.3,2024-04-26
10141,64,SKU-040,1,239.14,2024-07-14
10142,238,SKU-045,11,109.82,2024-08-30
10143,17,SKU-056,5,281.94,2024-11-12
10144,318,SKU-006,17,,2024-11-17
10145,185,SKU-037,17,723.69,2024-01-12
10146,404,SKU-015,8,597.16,2024-08-24
10147,247,SKU-078,3,600.22,2024-03-08
10148,422,SKU-071,14,601.37,2024-03-03
10149,308,sku-067,18,574.63,2024-11-20
10150,138,SKU-083,10,708.61,2024-05-24
10151,26,sku-002,13,175.47,2024-10-21
10152,156,SKU-078,5,854.4,2024-05-13
10153,273,SKU-054,1,212.19,2024-04-10
10154,15,SKU-095,8,507.53,2024-11-26
10155,265,SKU-017,19,145.71,2024-08-14
10156,2,SKU-091,9,423.24,2024-11-26
10157,406,SKU-019,15,152.7,2024-12-21
10158,143,SKU-075,1,70.92,2024-02-15
10159,157,sku-009,16,536.1,2024-06-28
10160,101,SKU-097,17,612.88,2024-05-21
10161,0,SKU-042,18,434.87,2024-07-14
10162,182,SKU-050,1,316.33,2024-09-24
10163,384,SKU-021,20,597.59,2024-09-21
10164,383,SKU-015,14,,2024-05-06
10165,226,SKU-018,16,212.41,2024-07-25
10166,325,sku-016,18,77.56,2024-12-28
10167,112,SKU-042,13,570.8,2024-11-09
10168,291,SKU-004,14,349.21,2024-09-02
10169,352,sku-002,12,180.73,2024-07-24
10170,13,SKU-018,14,204.34,2024-07-09
10171,303,SKU-040,8,208.86,2024-03-11
10172,69,SKU-011,10,446.48,2024-10-25
10173,1,SKU-045,2,116.03,2024-05-04
10174,185,SKU-026,5,363.42,2024-12-14
10175,215,SKU-085,17,207.33,2024-09-01
10176,414,SKU-031,13,544.74,2024-07-30
10177,414,SKU-026,8,330.53,2024-04-21
10178,192,SKU-092,7,81.19,2024-11-01
10179,224,SKU-022,18,734.62,2024-07-02
10180,158,sku-009,6,503.1,2024-10-02
10181,315,SKU-065,10,119.8,2024-01-14
10182,433,SKU-084,7,532.48,2024-11-17
10183,379,SKU-042,2,432.26,2024-03-28
10184,311,SKU-001,7,,2024-10-29
10185,10,SKU-032,13,23.11,2024-04-02
10186,107,SKU-061,4,305.83,2024-02-10
10187,205,SKU-014,5,357.08,2024-02-24
10188,156,SKU-055,8,147.87,2024-11-01
10189,72,sku-067,13,582.96,2024-02-26
10190,236,SKU-085,10,224.98,2024-11-26
